category,round,year,codprov,name_prov,listas,votos,electores,totales,participacion,pct
presi,gral,1951,NA,ARGENTINA,Perón - Quijano (Peronista),4745168,8633998,7593938,0.8795390038311336,62.5
presi,gral,1951,NA,ARGENTINA,Balbín - Frondizi (Unión Cívica Radical),2415750,8633998,7593938,0.8795390038311336,31.8
presi,gral,1951,NA,ARGENTINA,Pastor - Solano Lima (Demócrata ),174399,8633998,7593938,0.8795390038311336,2.3
presi,gral,1951,NA,ARGENTINA,Ghioldi - De La Peña (Comunista),71318,8633998,7593938,0.8795390038311336,0.8999999999999999
presi,gral,1951,NA,ARGENTINA,Palacios - Ghioldi (Socialista),54920,8633998,7593938,0.8795390038311336,0.7000000000000001
presi,gral,1951,NA,ARGENTINA,Giacobini - Rivero (Salud Publica),5512,8633998,7593938,0.8795390038311336,0.1
presi,gral,1951,NA,ARGENTINA,Molinas - Díaz Arana (Demócrata Progresista),2625,8633998,7593938,0.8795390038311336,0
presi,gral,1951,NA,ARGENTINA,Panelon - Semiza (Concertacion Obrera),1223,8633998,7593938,0.8795390038311336,0
presi,gral,1951,NA,ARGENTINA,Unión Cívica Nacionalista,163,8633998,7593938,0.8795390038311336,0
presi,gral,1951,NA,ARGENTINA,Otros,12871,8633998,7593938,0.8795390038311336,0.2
presi,gral,1951,NA,ARGENTINA,Votos Blancos Y Nulos,109989,8633998,7593938,0.8795390038311336,1.4000000000000001
