category,round,year,codprov,name_prov,listas,votos,electores
presi,gral,1951,NA,ARGENTINA,Perón - Quijano (Peronista),4745168,8633998
presi,gral,1951,NA,ARGENTINA,Balbín - Frondizi (Unión Cívica Radical),2415750,8633998
presi,gral,1951,NA,ARGENTINA,Pastor - Solano Lima (Demócrata ),174399,8633998
presi,gral,1951,NA,ARGENTINA,Ghioldi - De La Peña (Comunista),71318,8633998
presi,gral,1951,NA,ARGENTINA,Palacios - Ghioldi (Socialista),54920,8633998
presi,gral,1951,NA,ARGENTINA,Giacobini - Rivero (Salud Publica),5512,8633998
presi,gral,1951,NA,ARGENTINA,Molinas - Díaz Arana (Demócrata Progresista),2625,8633998
presi,gral,1951,NA,ARGENTINA,Panelon - Semiza (Concertacion Obrera),1223,8633998
presi,gral,1951,NA,ARGENTINA,Unión Cívica Nacionalista,163,8633998
presi,gral,1951,NA,ARGENTINA,Otros,12871,8633998
presi,gral,1951,NA,ARGENTINA,Votos Blancos Y Nulos,109989,8633998
